Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,648903173,s,position_lat,464213495,semicircles,position_long,-919026289,semicircles,distance,94.77,m,altitude,43.799999999999955,m,speed,6.621,m/s,power,151,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903174,s,position_lat,464214240,semicircles,position_long,-919026237,semicircles,distance,101.7,m,altitude,43.799999999999955,m,speed,6.496,m/s,power,147,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903175,s,position_lat,464214979,semicircles,position_long,-919026144,semicircles,distance,108.6,m,altitude,43.799999999999955,m,speed,6.802,m/s,power,154,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903176,s,position_lat,464215688,semicircles,position_long,-919026092,semicircles,distance,115.21,m,altitude,43.799999999999955,m,speed,6.655,m/s,power,154,watts,cadence,74,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903177,s,position_lat,464216340,semicircles,position_long,-919026014,semicircles,distance,121.3,m,altitude,43.799999999999955,m,speed,6.206,m/s,power,139,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903178,s,position_lat,464217008,semicircles,position_long,-919025985,semicircles,distance,127.5,m,altitude,43.799999999999955,m,speed,6.192,m/s,power,140,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903179,s,position_lat,464217717,semicircles,position_long,-919025972,semicircles,distance,134.07,m,altitude,43.799999999999955,m,speed,6.174,m/s,power,139,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903180,s,position_lat,464218325,semicircles,position_long,-919026041,semicircles,distance,139.62,m,altitude,43.799999999999955,m,speed,5.457,m/s,power,134,watts,cadence,72,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903181,s,position_lat,464218853,semicircles,position_long,-919026175,semicircles,distance,144.41,m,altitude,43.799999999999955,m,speed,5.349,m/s,power,134,watts,cadence,72,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903182,s,position_lat,464219353,semicircles,position_long,-919026318,semicircles,distance,148.94,m,altitude,43.799999999999955,m,speed,5.872,m/s,power,128,watts,cadence,72,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903183,s,position_lat,464219724,semicircles,position_long,-919026580,semicircles,distance,152.4,m,altitude,43.799999999999955,m,speed,6.232,m/s,power,130,watts,cadence,71,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903184,s,position_lat,464220220,semicircles,position_long,-919026722,semicircles,distance,157.03,m,altitude,43.799999999999955,m,speed,6.327,m/s,power,134,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903185,s,position_lat,464220899,semicircles,position_long,-919026790,semicircles,distance,163.34,m,altitude,43.799999999999955,m,speed,6.448,m/s,power,122,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903186,s,position_lat,464221622,semicircles,position_long,-919026840,semicircles,distance,170.08,m,altitude,43.799999999999955,m,speed,6.247,m/s,power,122,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903187,s,position_lat,464222395,semicircles,position_long,-919026915,semicircles,distance,177.29,m,altitude,43.799999999999955,m,speed,6.243,m/s,power,112,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903188,s,position_lat,464223111,semicircles,position_long,-919026924,semicircles,distance,183.94,m,altitude,43.799999999999955,m,speed,5.997,m/s,power,112,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903189,s,position_lat,464223806,semicircles,position_long,-919026984,semicircles,distance,190.35,m,altitude,43.799999999999955,m,speed,5.858,m/s,power,112,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903190,s,position_lat,464224284,semicircles,position_long,-919027152,semicircles,distance,194.76,m,altitude,44.0,m,speed,5.58,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
